Category,Location,Challenge Name,Tagline,Description,More Info Link,Unlocks/Revealed On
The Essentials,UC Bus Stop,Bus Ride At The University Center,Find the Bus Stop by the University Center!,"During your time at CMU, if you pay the PRT fee for the semester, your student ID gets you access to bus rides via Allegheny County's Pittsburgh Regional Transit. This includes the 28X line, which takes you to the Pittsburgh International Airport, as well as the 61A-D lines.",https://www.cmu.edu/transportation/transport/index.html,08/19/2025 6:00 PM
The Essentials,Morewood Bus Stop,Bus Ride On Morewood Avenue,Find the Bus Stop by Morewood Gardens!,"During your time at CMU, if you pay the PRT fee for the semester, your student ID gets you access to bus rides via Allegheny County's Pittsburgh Regional Transit. This includes the 28X line, which takes you to the Pittsburgh International Airport, as well as the 61A-D lines.",https://www.cmu.edu/transportation/transport/index.html,08/19/2025 6:00 PM
The Essentials,Maggie Mo Bus Stop,Bus Ride On Margaret Morrison Street,Find the Bus Stop on Margarey Morrison Street!,"During your time at CMU, if you pay the PRT fee for the semester, your student ID gets you access to bus rides via Allegheny County's Pittsburgh Regional Transit. This includes the 28X line, which takes you to the Pittsburgh International Airport, as well as the 61A-D lines.",https://www.cmu.edu/transportation/transport/index.html,08/19/2025 6:00 PM
The Essentials,Fifth Avenue Bus Stop,Bus Ride on Fifth Avenue,Find the Bus Stop on Fifth Avenue!,"During your time at CMU, if you pay the PRT fee for the semester, your student ID gets you access to bus rides via Allegheny County's Pittsburgh Regional Transit. This includes the 28X line, which takes you to the Pittsburgh International Airport, as well as the 61A-D lines.",https://www.cmu.edu/transportation/transport/index.html,08/19/2025 6:00 PM
The Essentials,CMU Shuttle Stop,Shuttle Stop,Find the CMU Shuttle Stop by Morewood Gardens!,"CMU’s shuttles run on a fixed route with specific stops, starting as early as 7 a.m. for some routes and running into the evening. The university's shuttles, as well as neighboring University of Pittsburgh's shuttles, are available to faculty, staff and students, provided they have their CMU ID upon boarding.",https://www.cmu.edu/transportation/transport/index.html,08/19/2025 6:00 PM
The Essentials,CFA 3,Color Printing Power: CFA,Find the Color Printer in College of Fine Arts Floor 3!,"The Campus Printing service allows you to print from your computer or mobile phone to printers across campus. Send the file to the printer, then release the job at the printer by tapping your CMU ID. Central print release stations are available in computer labs, university libraries, some resident halls and public areas across campus. Some locations offer color printing, special paper sizes, scanning and copying. All students, faculty and staff are allotted a $40/semester print quota, which is associated with your CMU ID and debited when you release a print job at a campus printer. Computing Services also consults with departments to add departmental printers to the central print service.",https://www.cmu.edu/computing/services/endpoint/printing-kiosks/campus-printing.html,08/20/2025 12:00 PM
The Essentials,Wellness Vending Machine (UC),W-E-L-L To Go! UC Edition,Find the Wellness Vending Machine in the UC!,"Carnegie Mellon's University Health Services (UHS) is dedicated to enhancing students' well-being through convenient access to healthcare, including sexual and reproductive health. Three Wellness to Go vending machines are available on campus.",https://www.cmu.edu/health-services/index.html,08/20/2025 12:00 PM
The Essentials,Wellness Vending Machine (Tepper),W-E-L-L To Go! Tepper Edition,Find the Wellness Vending Machine in Tepper!,"Carnegie Mellon's University Health Services (UHS) is dedicated to enhancing students' well-being through convenient access to healthcare, including sexual and reproductive health. Three Wellness to Go vending machines are available on campus.",https://www.cmu.edu/health-services/index.html,08/20/2025 12:00 PM
The Essentials,Wellness Vending Machine (Highmark),W-E-L-L To Go! Highmark Edition,Find the Wellness Vending Machine in the Highmark Center!,"Carnegie Mellon's University Health Services (UHS) is dedicated to enhancing students' well-being through convenient access to healthcare, including sexual and reproductive health. Three Wellness to Go vending machines are available on campus.",https://www.cmu.edu/health-services/index.html,08/20/2025 12:00 PM
The Essentials,Wellness Lab (Highmark),Wellness Lab Period,"Reduce your stress in the Wellness Lab, located in the Highmark Center.","The Wellness Lab brings together traditional and modern techniques with the latest technology for a data-driven, well-rounded approach to health. You can explore wellness in various cultures and even participate in practices like stress reduction training.",https://www.cmu.edu/hwac/wellness/index.html,08/20/2025 12:00 PM
The Essentials,Massage and Meditation Spaces (Highmark),Massage and Meditation,"Take a breather in the Massage and Meditation Spaces, located in the Highmark Center.","Healthy, mindful practices can help you recenter yourself when you need it most. Highmark's dedicated Massage and Meditation spaces allow you to explore alternative medicine and centering practices for physical and emotional rejuvenation.",https://www.cmu.edu/hwac/wellness/index.html,08/20/2025 12:00 PM
The Essentials,Spiritual Space (Highmark),Spiritual Space,Visit the Multi-Faith Prayer Room in Highmark Center.,"Practicing and exploring faith is an important part of wellness and balance for many students, so CMU Community can explore their spirituality through a Highmark's multi-faith prayer room. Additionally, gathering spaces allow for spiritual discussions, meetings, and reflection.",https://www.cmu.edu/hwac/wellness/index.html,08/20/2025 12:00 PM
The Essentials,The Career and Professional Development Center (CPDC),Job Hunter,Explore careers and build your resume at the Career and Professional Development Center!,"The Career and Professional Development Center (CPDC) is Carnegie Mellon University’s centralized career services center. They provide a comprehensive range of services, programs, and materials focusing on career exploration, professional development, experiential learning and employment assistance to meet the needs of evolving workplaces and your own goals in finding satisfying work!",https://www.cmu.edu/career/,08/21/2025 12:00 PM
The Essentials,Student Academic Success Center (SASC),Setting Up For Success,Need some support in your classes? Check out the Student Academic Success Center!,"SASC provides course support in the form of supplemental instruction sessions, 1:1 tutoring, and drop-in tutoring; can help you build effective study techniques and skills; provide language support for multilingual learners; and much more. They also work with faculty and staff to improve coordination and professional development for your academic advisors. When your courses get tricky, don't be afraid to ask for help!",https://www.cmu.edu/student-success/,08/21/2025 12:00 PM
The Essentials,Sorrells Library,Color Printing Power: Sorrells Library,Find the Color Printer in Sorrells Library!,"The Campus Printing service allows you to print from your computer or mobile phone to printers across campus. Send the file to the printer, then release the job at the printer by tapping your CMU ID. Central print release stations are available in computer labs, university libraries, some resident halls and public areas across campus. Some locations offer color printing, special paper sizes, scanning and copying. All students, faculty and staff are allotted a $40/semester print quota, which is associated with your CMU ID and debited when you release a print job at a campus printer. Computing Services also consults with departments to add departmental printers to the central print service.",https://www.cmu.edu/computing/services/endpoint/printing-kiosks/campus-printing.html,08/21/2025 12:00 PM
Cool Corners of Carnegie,Kirr Commons,"Come On, Kirr Commons","Find Kirr Commons, in the University Center","Kirr Commons, commonly referred to as the ""UC Black Chairs,"" is the main lobby, student gathering space, and hub in the Cohon University Center. Events will also be held here throughout the year, such as Family Weekend photo-ops and the Kiltie Spring Carnival Concert.",https://www.cmu.edu/cohon-university-center/center-facilities/Kirr-Commons/index.html,08/17/2025 6:00 PM
Cool Corners of Carnegie,Andy's Alcove,Adventure In Andy's Alcove,"Check out Andy's Alcove, in the UC basement!","Named after CMU's founder, Andy's Alcove is a mixed-use space on the lower floor of the Cohon University Center between package pickup and Tartan Ink. The space offers plentiful seating as well as vending machines for food and beverages. The space may also be reserved for events.",https://www.cmu.edu/cohon-university-center/center-facilities/andys-alcove/index.html,08/17/2025 6:00 PM
Cool Corners of Carnegie,Scotland Yard Game Room (UC),Game Start!,Play some games in the UC Game Room!,"Scotland Yard Game Room is a recreational space and game room located in the lower level of the Cohon Center, featuring ping pong, pool, and foosball tables! Stop by and play some games with your friends.",https://www.cmu.edu/cohon-university-center/center-facilities/scotland-yard/index.html,08/17/2025 6:00 PM
Cool Corners of Carnegie,The Fence,Defense! (It's Over There!),Check out The Fence!,"The Fence is an iconic piece of Carnegie Mellon’s Pittsburgh campus. Serving as a student-centered space for free expression and community, The Fence has brought the CMU community together for more than a century. Governed by the Student Government Graffiti and Poster Policy, The Fence maintains specific expectations and rules regarding painting it (including only painting between midnight and sunrise, and only hand-painting). Adherence to the policy helps keep the tradition of The Fence alive for future Tartans.",https://www.cmu.edu/stugov/fence/index.html,08/17/2025 9:00 PM
Cool Corners of Carnegie,Number Garden (Posner),Counting On Kraus Campo,"Take a trip to Kraus Campo (colloquially known as the Number Garden), on the roof of Posner Hall!","Rare among projects of this kind, the Number Garden (formally known as Kraus Campo) challenges the very definition of a garden: it is both garden-as-sculpture and sculpture-as-garden. Take some time to walk around or enjoy the weather.",https://www.cmu.edu/cmtoday/issues/dec-2004-issue/news-flash/kraus-campo-integrates-art-and-landscape-design-atop-posner-center/index.html,08/18/2025 12:00 PM
Cool Corners of Carnegie,Sorrells Library (Wean),Searching For a Sorrells Study Spot,"Find Sorrells Library, in Wean Hall!","The Roger Sorrells Engineering and Science Library, located on the fourth floor of Wean Hall, focuses on research support for the fields of computer science, engineering, mathematical sciences, physics and robotics, The library is named in honor of the late Roger Sorrells, thanks to a generous gift from his longtime partner, Dean emeritus of University Libraries Gloriana St. Clair. Read more about Roger Sorrells.",https://www.library.cmu.edu/visit/sorrells,08/18/2025 12:00 PM
Cool Corners of Carnegie,Alumni House,"Love, Love, Alumni",Visit the Alumni House!,"Located just across the street from the University Center, the Alumni House stands as the hub for all Carnegie Mellon alumni programming, activities, and involvement. The first floor of the building is open to visitors during normal business hours every Monday through Friday.",https://www.cmu.edu/engage/alumni/about/index.html,08/18/2025 12:00 PM
Cool Corners of Carnegie,University Center Gym,Fitness Fiend: UC Edition,Work out at the Fitness Center in the University Center!,"The Cohon Center's Fitness Center offers two floors dedicated to cardio and weight equipment, including more than 60 cardio machines, selectorized and Olympic weight equipment, and free weights. There are also specific areas and spaces for assessment, stretching, and personal training. The space is designed to accommodate all types of workout styles and preferences, with personal viewing monitors, TV screens, and large floor to celing windows overlooking Forbes Avenue.",https://www.cmu.edu/cohon-university-center/wellness-facilities/fitness-center/index.html,08/19/2025 12:00 PM
Cool Corners of Carnegie,Tepper Gym,Fitness Fiend: Tepper Edition,Work out at the Fitness Center in Tepper School of Business!,"At the Tepper Fitness Center, you can exercise with treadmills, bikes, weights and more. You can also check out equipment such as jump ropes and resistance tubes, and purchase personal training sessions. The Fitness Center also has an ourdoor terrace area overlooking Fifth Avenue.",https://athletics.cmu.edu/recreation/files/TepperFitnessTour,08/19/2025 12:00 PM
Cool Corners of Carnegie,Wean 1 Elevator,Wean 1 Lower Entrance,Find the entrance to the first floor Wean Hall!,"Not many students know about the lower entrance to Wean Hall, or the parking lot around it. But it makes for a great shortcut when travelling between classes!",,08/21/2025 12:00 PM
Cool Corners of Carnegie,Tech Spark (Hammerschlag Hall),TechSpark Tour,"Get creative at the TechSpark makerspace, located in Hammerschlag Hall!","TechSpark is Carnegie Mellon University’s focal point for technology innovation. This facility provides equipment for rapidly prototyping designs from ideas to reality for educational, extracurricular, and research activities. It is a hands-on learning and exploration space available for current College of Engineering students, faculty, staff, and collaborators across campus (though in order to use any equipment, you must first take its corresponding course).",https://engineering.cmu.edu/techspark/,08/21/2025 12:00 PM
Cool Corners of Carnegie,Miller Institute of Contemporary Art,Understanding Contemporary Art,Visit the Miller Institute of Contemporary Art!,"The Miller Institute, Carnegie Mellon University’s contemporary art gallery, supports experimentation that expands notions of art and culture, providing a forum for conversations about creativity and innovation. Its mission includes: explorations of new forms; dynamic relationships between past, present, future histories of art and hybrid practices, as well as regional and international investigations across media.",https://miller-ica.cmu.edu/,08/21/2025 12:00 PM
Cool Corners of Carnegie,Tartan Collaborative Commons,Tartan Collaborative Commons,Visit the Tartan Collaborative Commons!,"Designed and funded by the Undergraduate Student Senate, the Tartan Collaborative Commons features a variety of seating configurations and work zones, as well as whiteboards and power outlets throughout the room to create a collaborative working environment. The space has two six-person free-standing conference rooms equipped with TV screens and whiteboard walls, as well as a professional headshot booth.",https://www.cmu.edu/cohon-university-center/center-facilities/tartan-collaborative/,08/21/2025 12:00 PM
Cool Corners of Carnegie,Hunt Library Floor 1,Hunting For A Study Spot,Find Hunt Library!,"Hunt Library is the largest library on campus, housing four floors of volumes comprising the university's collections in the arts, humanities, and social science. Special Collections, University Archives, and the video collection are located in Hunt Library. The fifth floor is home to the Hunt Institute for Botanical Documentation, which specializes in the history of botany and all aspects of plant science. The university's IDeATe program, which offers nine undergraduate minors in domains that merge technology and arts expertise, is housed in the basement. The building opened in 1961, thanks to the generosity of Mr. and Mrs. Roy Hunt.",https://www.library.cmu.edu/visit/hunt,08/21/2025 12:00 PM
Cool Corners of Carnegie,IDeATe Maker Facility,Integrated Artists,"Find the home of the IDeATe department, in Hunt Library!","The Integrative Design, Arts, and Technology (or IDeATe) network is housed in the Hunt Library basement. The program offers dozens of undergraduate courses and nine undergraduate minors, including Game Design, Animation & Special Effects, and Immersive Technologies in Arts & Culture. IDeATe merges technology and creativity to provide learning opportunities for interdisciplinary collaboration. IDeATe minors and courses are open to all majors, and they welcome students from every discipline to their unique learning environment.",https://ideate.cmu.edu/,08/21/2025 12:00 PM
Cool Corners of Carnegie,CUC 303,Student Orgs Abound,"Visit CUC 303, where many student organizations meet!","CUC 303 is the meeting area of many clubs and student organizations at CMU. If you student org is given access to the space, you can use the binder inside to reserve time for the room.",,08/21/2025 12:00 PM
Campus of Bridges,Pausch Bridge,Pausch Bridge,"Take a trip down Pausch Bridge, connecting Gates-Hillman Center and Purnell Center For the Arts!","Pausch Bridge connects one of the university’s fine arts buildings, Purnell Center, with the Gates & Hillman Centers, the home for computer science at Carnegie Mellon. The bridge features more than 7,000 programmable (and environmentally friendly) LED lights, and each segment even has a hidden penguin! In the Spring, CMU offers ""62-661: Interaction and Expression using Pausch Bridge Lighting"" if you want the chance to create your own light show.",,08/17/2025 6:00 PM
Campus of Bridges,Doherty A <—> Wean 5,Doherty A <—> Wean 5,Find the pathway between Doherty Hall A and Wean Hall 5!,"Did you know that you can travel between Wean, Doherty, Scott Hall, and more, all without stepping outside? These pathways are perfect for when the Pittsburgh weather gets a bit too intense, so try finding all of the connections!",,08/18/2025 12:00 PM
Campus of Bridges,Gates 4 <—> NSH 4,Gates 4 <—> NSH 4,Take a walk down the bridge between Gates-Hillman Center 4 and Newell Simon Hall 4!,"Did you know that you can travel between Wean, Gates, Newell-Simon Hall, and more, all without stepping outside? These pathways are perfect for when the Pittsburgh weather gets a bit too intense, so try finding all of the connections!",,08/18/2025 12:00 PM
Campus of Bridges,Doherty 1 <—> Wean 6,Doherty 1 <—> Wean 6,Find the pathway between Doherty Hall 1 and Wean Hall 6!,"Did you know that you can travel between Wean, Doherty, Gates, and more, all without stepping outside? These pathways are perfect for when the Pittsburgh weather gets a bit too intense, so try finding all of the connections!",,08/19/2025 12:00 PM
Campus of Bridges,Scott Hall <—>Wean 4,Scott Hall <—>Wean 4,Take a walk down the bridge between Scott Hall and Wean Hall 4!,"Did you know that you can travel between Wean, Scott Hall, Hamerschlag Hall, and more, all without stepping outside? These pathways are perfect for when the Pittsburgh weather gets a bit too intense, so try finding all of the connections!",,08/19/2025 12:00 PM
Campus of Bridges,Doherty B <—> Wean 4,Doherty B <—> Wean 4,Find the pathway between Doherty Hall B and Wean Hall 4!,"Did you know that you can travel between Wean, Doherty, Gates, and more, all without stepping outside? These pathways are perfect for when the Pittsburgh weather gets a bit too intense, so try finding all of the connections!",,08/20/2025 12:00 PM
Campus of Bridges,Wean 4 <—>NSH 4,NSH 4 <—> Wean 4,Take a walk down the bridge between Newell Simon Hall 4 and Wean Hall 4!,"Did you know that you can travel between Wean, Gates, Newell-Simon Hall, and more, all without stepping outside? These pathways are perfect for when the Pittsburgh weather gets a bit too intense, so try finding all of the connections!",,08/20/2025 12:00 PM
Campus of Bridges,Doherty 2 <—>Wean 7,Doherty 2 <—>Wean 7,Find the pathway between Doherty Hall 2 and Wean Hall 7!,"Did you know that you can travel between Wean, Doherty, Scott Hall, and more, all without stepping outside? These pathways are perfect for when the Pittsburgh weather gets a bit too intense, so try finding all of the connections!",,08/21/2025 12:00 PM
Campus of Bridges,Hamerschlag <—> Wean 4,Hamerschlag <—> Wean 4,Check out the bridge between Hamerschlag Hall and Wean Hall 4!,"Did you know that you can travel between Wean, Scott Hall, Hamerschlag Hall, and more, all without stepping outside? These pathways are perfect for when the Pittsburgh weather gets a bit too intense, so try finding all of the connections!",,08/21/2025 12:00 PM
Campus of Bridges,Friends of Engineering Bridge,Friends of Engineering Bridge,"Go for a walk on the Friends of Engineering Bridge, located between Ansys Hall and Scott Hall!","This high-traffic corridor connects the upper campus with the engineering quad. As you cross the Friends of Engineering Bridge, you’ll see a striking juxtaposition: legacy on one side, in the form of nameplate plaques honoring the Engineering community and their mentors; and the future on the other, with a view directly into the B and C levels of ANSYS Hall of students working on innovative, hands-on projects in TechSpark.",https://engineering.cmu.edu/about-us/giving/foeb.html,08/21/2025 12:00 PM
Let's Eat!,CMU Pantry,Party At The CMU Pantry,Check out the CMU Pantry in Residence on Fifth!,"The CMU Pantry is a free, supplemental food resource open to all undergraduate and graduate students. Shoppers are able to visit the Pantry once a week. The Pantry provides shoppers access to meats, fruits, vegetables, and frozen ready-to-eat meals based on availability. Additionally, there is a consistent stock of non-perishables including staple items such as pasta, rice, peanut butter, and canned goods. The Pantry also stocks toiletry and personal hygiene items.",https://www.cmu.edu/student-affairs/resources/cmu-pantry/,08/17/2025 6:00 PM
Let's Eat!,Au Bon Pain,A Bite of Au Bon Pain,Grab a sandwich at Au Bon Pain!,"At Au Bon Pain café bakery, each signature recipe is uniquely crafted. You can enjoy delicious hot or iced coffee and teas, espresso drinks, a variety of cold beverages, soup, a customized made-to-order breakfast or lunch sandwich or salad, or you can grab a pre-made salad, sandwich, wrap, yogurt parfait, fresh fruit or snack. There is always something new to try, from nutritious foods and healthy choices, to comfort food and indulgent treats!",,08/22/2025 9:00 AM
Let's Eat!,Build Pizza,Build Pizza to Perfection,Get some brick-oven pizza at Build Pizza in Tepper!,"Brick oven-baked flatbread pizza take the stage at BUILD. When you go to BUILD Pizza, you'll find three choices every day: classic cheese, traditional pepperoni, and a chef-driven special.",,08/22/2025 9:00 AM
Let's Eat!,Ciao Bella,Chowing Down On Ciao Bella,Build your own pasta bowl at Ciao Bella!,"Ciao Bella takes a globally inspired approach to pasta. Discover a menu of traditional dishes featuring international flavors, as well as customizable pasta bowls.",,08/22/2025 9:00 AM
Let's Eat!,Crisp and Crust,Chomping On Crisp and Crust,Have a salad or flatbread at Crisp and Crust!,"Crisp and Crust is a greens-driven location that takes salads and flatbreads to a new level, boasting a fully customizable menu along with some delicious signature dishes. The ""build-your-own"" menu will highlight ingredients like burrata and edamame, while ""signatures"" feature classics like the Caesar salad or Margherita Flatbread, as well as unique-to-CMU items like the Thai Crunch salad and Philly Cheesesteak Roll-up.",,08/22/2025 9:00 AM
Let's Eat!,De Fer,Deliciously De Fer,Grab some coffee at De Fer in Hunt Library!,"De Fer Coffee & Tea serves locally-roasted specialty coffee, tea, and scratch-made food in the Maggie Murph Café in Hunt Library. Locally owned and operated by CMU alum, Atelier de Fer has been roasting coffee at its flagship store in Pittsburgh’s Strip District since 2017. In addition to a full coffee/tea menu, you can get house-made scones, muffins, cookies, paninis, smoothies and parfaits.",,08/22/2025 9:00 AM
Let's Eat!,The Edge Cafe & Market,The Edge of Greatness,Have some kosher pizza and bagels at The Edge Cafe & Market in Resnik!,"The Edge is a Vaad-certified kosher cafe and market. Here, you'll find freshly baked bagels, bagel sandwiches, Turkish bourekas, wraps, salads, pasta, and artisan pizzas baked in our hearthstone oven. It is located in Tartans Pavilion, overlooking Gesling Stadium.",,08/22/2025 9:00 AM
Let's Eat!,El Gallo De Oro,"Esta Bien, El Gallo",Grab some Mexican cuisine at El Gallo De Oro!,"El Gallo offers authentic Mexican cuisine – burritos and burrito bowls, tacos, quesadillas, and salads – made with fresh healthful ingredients. Dishes are prepared over the grill to maximize flavor and feature spices like cumin, cilantro, and chipotle.",,08/22/2025 9:00 AM
Let's Eat!,Entropy+,Enter: Entropy+,Grab some snacks and groceries at Entropy+!,"Entropy+ is the on-campus go-to spot for grocery items, health and beauty aids, bottled beverages, snacks, sweets, and local foods. In addition to their convenience products, you can find a variety of grab-and-go meals: find hot and cold from our allergen-friendly kitchen Nourish, fresh-made sandwiches, salads, sushi, fresh fruits and veggies, and more. ",,08/22/2025 9:00 AM
Let's Eat!,The Exchange,Eating Up The Exchange,Get a sandwich at The Exchange in Posner Hall!,"The Exchange offers custom deli sandwiches, soups, hot entrées, fresh baked goods, fruit, yogurt parfaits, snack and energy bars, and other grab-and-go items. The designated coffee bar includes hot brewed La Prima coffee, specialty and organic teas, cold beverages, and bottled juices.",,08/22/2025 9:00 AM
Let's Eat!,Forbes Avenue Subs,Feasting On Forbes Avenue Subs,Check out Forbes Avenue Subs in Tepper!,"Build your perfect sub or wrap at Forbes Avenue Subs, a deli-style eatery featuring fresh-sliced deli meat and cheeses.",,08/22/2025 9:00 AM
Let's Eat!,Hunan Express,Hungry For Some Hunan,Grab some Chinese cuisine at Hunan Express in Newell-Simon Hall!,"Authentic Chinese cuisine, featuring sauces made with bone broth. Choose your base of noodles or rice and build your own meal with General Tso’s chicken, stir fry tofu, seasonal vegetables, or pork ribs in black bean sauce. Braised fish, spring rolls, pork dumplings, red bean rice cakes are also available daily. For dessert, enjoy fruit smoothies and build-your-own milk or fruit boba tea, with bubble toppings like tapioca, rainbow jelly, lychee jelly and popping boba. ",,08/22/2025 9:00 AM
Let's Eat!,La Prima (Gates),Grabbing Some Gates La Prima,Grab some coffee La Prima in Gates-Hillman Center!,"La Prima Espresso Company is a Pittsburgh-based certified organic roaster offering exceptional Italian-style coffee and espresso, cold brew, nitro, chai and matcha green tea lattes, frizz coffee, and more. You can pick up made-daily pastries, grab-and-go sandwiches, and vegetarian meals, and order hot sandwiches are for breakfast and lunch.",,08/22/2025 9:00 AM
Let's Eat!,La Prima (Wean),Want Some Wean La Prima,Grab some coffee La Prima in Wean Hall!,"La Prima Espresso Company is a Pittsburgh-based certified organic roaster offering exceptional Italian-style coffee and espresso, cold brew, nitro, chai and matcha green tea lattes, frizz coffee, and more. You can pick up made-daily pastries, grab-and-go sandwiches, and vegetarian meals, and order hot sandwiches are for breakfast and lunch.",,08/22/2025 9:00 AM
Let's Eat!,Mille's Coffee 'n' Creamery,Craving Mille's Ice Cream,Have some ice cream at Millie's Coffee 'n' Creamery in Tepper!,"Pittsburgh-based Millie's Homemade Ice Cream is now scooping at CMU! Millie's Coffee 'n' Creamery serves chef-inspired ice creams, vegan gelatos, KLVN coffee and espresso drinks, Goodlander draft tea, and artisan pastries. Perfect for breakfast-on-the-go, an after-dinner sweet treat, or anything in between. FLEX dollars and DineXtra are accepted as well!",,08/22/2025 9:00 AM
Let's Eat!,Nourish,Nourishing Noms,Have some allergen friendly dining at Nourish!,"Nourish is an allergen-friendly kitchen with a menu prepared without gluten, wheat, milk, sesame, egg, soy, fish, shellfish, peanuts, and most tree nuts (except coconut). In addition to offering a diverse and delicious menu designed with everyone in mind, Nourish serves safe foods for their guests with dietary restrictions. Grab-and-go items from Nourish are available at Entropy+, Rothberg’s Roasters II, and Tepper Eatery. Items can be purchased individually or as a block meal on your meal plan.",,08/22/2025 9:00 AM
Let's Eat!,Redhawk Coffee,Ready For Redhawk,Check out Redhawk Coffee in Scaife Hall!,"Redhawk Coffee is a local, family-owned coffee roasting company dedicated to serving the best specialty coffee on the market. With an approachable roast style and a variety of drinks, Redhawk will have plenty of options for you. Try one of their fresh baked pastries from Driftwood Oven or even a matcha latte made with ceremonial grade matcha tea. Other popular options include mochas with Brunton’s chocolate milk and our signature honey-cinnamon latte.",,08/22/2025 9:00 AM
Let's Eat!,Revolution Noodle,Revin' Up For Rev Noodle,Grab a custom-made Malatang Bowl at Revolution Noodle in the UC!,"From the creators of Hunan Express comes Revolution Noodle! Build your perfect Malatang noodle bowl with house-made broths, fresh noodles, seasonal vegetables, and various proteins. Don’t forget to add a savory bao bun, bubble tea, or fruit smoothie.",,08/22/2025 9:00 AM
Let's Eat!,Schatz Dining,Sharing Some Schatz,Check out Schatz Dining in the UC for some all-you-can-eat dining!,"Schatz Dining is an all-you-can-eat buffet on the second floor of the University Center, with a rotating menu. One meal block gets you access to Schatz for an entire meal period, so eat as much as like!",,08/22/2025 9:00 AM
